Origen,Destino,Algoritmo,Tiempo_ms,Longitud_Camino,Memoria_MB,Encontro_Camino
973850,1648460,BFS,41.374,48,32.293,1
973850,1648460,DFS,56.226,3049,4.4375,1
973850,1648460,BestFirst,13.048,1007,1.3125,1
973850,1648460,Dijkstra,238.828,58,-1.08984,1
973850,1648460,AStar,69.465,67,5.28125,1
700953,919075,BFS,136.115,54,6.67578,1
700953,919075,DFS,64.948,4305,0.75,1
700953,919075,BestFirst,353.586,283,5.19922,1
700953,919075,Dijkstra,474.005,68,10.1016,1
700953,919075,AStar,361.901,67,-16.6289,1
207934,821205,BFS,112.994,55,0.332031,1
207934,821205,DFS,47.806,3538,3.8125,1
207934,821205,BestFirst,247.197,1646,8.38672,1
207934,821205,Dijkstra,933.144,62,-18.1211,1
207934,821205,AStar,207.62,60,3.05469,1
952338,1986104,BFS,14.384,47,1.0625,1
952338,1986104,DFS,85.648,1306,-0.921875,1
952338,1986104,BestFirst,110.947,1185,17.1875,1
952338,1986104,Dijkstra,91.732,56,-7.8125,1
952338,1986104,AStar,46.301,57,2.37109,1
1559594,1419957,BFS,113.488,53,-18.457,1
1559594,1419957,DFS,51.999,3163,1.46875,1
1559594,1419957,BestFirst,255.302,1211,11.0352,1
1559594,1419957,Dijkstra,647.101,71,-5.91016,1
1559594,1419957,AStar,226.935,71,9.44922,1
1098010,246948,BFS,235.569,59,40.9297,1
1098010,246948,DFS,29.59,2728,1.16016,1
1098010,246948,BestFirst,667.768,743,10.8359,1
1098010,246948,Dijkstra,920.053,71,-11.2109,1
1098010,246948,AStar,555.935,66,13.4805,1
921793,150512,BFS,191.321,61,0.875,1
921793,150512,DFS,88.571,4872,0.25,1
921793,150512,BestFirst,82.346,745,0.1875,1
921793,150512,Dijkstra,811.513,74,5.32812,1
921793,150512,AStar,74.015,75,1.57422,1
79342,284053,BFS,89.094,57,-5.83984,1
79342,284053,DFS,61.526,2120,-15.832,1
79342,284053,BestFirst,157.763,790,0.605469,1
79342,284053,Dijkstra,165.581,71,-3.67188,1
79342,284053,AStar,148.622,100,14.1953,1
252443,412297,BFS,177.543,54,9.25781,1
252443,412297,DFS,101.612,1496,-6.97266,1
252443,412297,BestFirst,573.506,815,-37.4414,1
252443,412297,Dijkstra,515.308,68,1.125,1
252443,412297,AStar,462.188,70,-18.8984,1
450685,237941,BFS,72.293,60,0,1
450685,237941,DFS,31.284,1943,0,1
450685,237941,BestFirst,74.52,1170,0,1
450685,237941,Dijkstra,462.727,68,0,1
450685,237941,AStar,161.796,99,0,1
1314900,688508,BFS,171.144,53,44.0234,1
1314900,688508,DFS,58.378,3091,0.25,1
1314900,688508,BestFirst,447.535,1783,1.07812,1
1314900,688508,Dijkstra,596.351,58,10.0938,1
1314900,688508,AStar,346.655,67,2.82812,1
1668091,108958,BFS,18.429,45,0.4375,1
1668091,108958,DFS,80.13,858,0.945312,1
1668091,108958,BestFirst,25.011,725,0.1875,1
1668091,108958,Dijkstra,99.908,51,-22.2227,1
1668091,108958,AStar,67.338,94,13.3516,1
1313677,1441842,BFS,120.494,54,5.07031,1
1313677,1441842,DFS,39.096,2708,1.68359,1
1313677,1441842,BestFirst,165.386,1053,6.05469,1
1313677,1441842,Dijkstra,698.902,60,-8.46094,1
1313677,1441842,AStar,184.339,66,-4.92578,1
1079848,946926,BFS,199.57,58,9.61719,1
1079848,946926,DFS,86.829,4292,-13.9453,1
1079848,946926,BestFirst,102.759,1270,9.34766,1
1079848,946926,Dijkstra,904.433,64,-6.16797,1
1079848,946926,AStar,98.92,65,0.5625,1
1194590,428719,BFS,78.179,53,5.17969,1
1194590,428719,DFS,34.424,816,1.75,1
1194590,428719,BestFirst,48.52,746,-13.6953,1
1194590,428719,Dijkstra,281.915,61,12.4883,1
1194590,428719,AStar,55.331,62,-26.2695,1
116537,1270499,BFS,269.705,64,37.9688,1
116537,1270499,DFS,41.546,3379,3.24219,1
116537,1270499,BestFirst,169.737,700,-0.0117188,1
116537,1270499,Dijkstra,968.502,76,7.01562,1
116537,1270499,AStar,75.063,76,24.0977,1
547020,423742,BFS,257.957,71,-8.39844,1
547020,423742,DFS,57.6,2192,-17.0977,1
547020,423742,BestFirst,180.912,719,4.80078,1
547020,423742,Dijkstra,994.706,76,11.2461,1
547020,423742,AStar,26.809,78,0.5,1
1609322,1548282,BFS,9.118,35,0.125,1
1609322,1548282,DFS,100.487,2598,-31.7227,1
1609322,1548282,BestFirst,307.683,653,1.42578,1
1609322,1548282,Dijkstra,16.878,39,7.38672,1
1609322,1548282,AStar,315.123,64,3.00781,1
538693,327559,BFS,70.967,55,-0.960938,1
538693,327559,DFS,71.734,2634,0.855469,1
538693,327559,BestFirst,370.706,754,3.60547,1
538693,327559,Dijkstra,223.979,60,-5.26953,1
538693,327559,AStar,99.784,62,-2.62891,1
826879,1836218,BFS,190.198,58,18.9609,1
826879,1836218,DFS,51.343,1634,1.5625,1
826879,1836218,BestFirst,217.316,854,-44.3398,1
826879,1836218,Dijkstra,570.549,68,9.05469,1
826879,1836218,AStar,171.998,117,3.0625,1
